"","k","mean","median","stdev"
"summary",5,0.329630828815031,0.590029570813357,0.605634844301131
"summary",10,0.453615313264108,0.859824982990605,0.854214049643761
"summary",15,0.463162743424548,0.895952311648401,0.884951583790654
"summary",20,0.563411832350132,0.968297824793655,0.820380905939901
"summary",25,0.521234592812176,0.906446056983959,0.764221919418442
"summary",30,0.509756344714069,0.974930982020476,0.903547889610822
"summary",35,0.54342606180727,0.990803714163096,0.850731958524553
"summary",40,0.569679867665657,0.972481366723099,0.785959730461232
"summary",45,0.51319356944578,0.940569738732357,0.758864376292635
"summary",50,0.533830917625525,0.967971699491526,0.819867831852069
