"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCR7",0,1.44377644787619,0.854,0.346,0,"C1","CCR7"
"TCF7",0,1.11393360759481,0.79,0.367,0,"C1","TCF7"
"ADTRP",0,1.11240429519153,0.502,0.11,0,"C1","ADTRP"
"LEF1",0,0.97386927543707,0.706,0.33,0,"C1","LEF1"
"SELL",0,0.967208607029764,0.9,0.511,0,"C1","SELL"
"EEF1B2",0,0.940184452145584,0.997,0.951,0,"C1","EEF1B2"
"MAL",0,0.920416541958808,0.745,0.353,0,"C1","MAL"
"MYC",0,0.882073841090954,0.637,0.333,0,"C1","MYC"
"RPS10",0,0.874448300872745,0.992,0.945,0,"C1","RPS10"
"RPS3A",0,0.836766004117019,0.999,0.988,0,"C1","RPS3A"
"SOCS3",0,0.822535901166199,0.59,0.306,0,"C1","SOCS3"
"RPS13",0,0.808157395602668,0.999,0.987,0,"C1","RPS13"
"RPS8",0,0.802704538667637,1,0.99,0,"C1","RPS8"
"RPS5",0,0.802232659553526,0.999,0.977,0,"C1","RPS5"
"RPL5",0,0.801401015196218,0.999,0.983,0,"C1","RPL5"
"RPS12",0,0.785695503544007,1,0.99,0,"C1","RPS12"
"EEF1G",0,0.766787420523401,0.993,0.929,0,"C1","EEF1G"
"TSHZ2",0,0.73466466263161,0.381,0.128,0,"C1","TSHZ2"
"RPL32",0,0.730781618828043,1,0.989,0,"C1","RPL32"
"RPL22",0,0.722665291589814,0.999,0.981,0,"C1","RPL22"
"RPL30",0,0.721051456736963,1,0.99,0,"C1","RPL30"
"PCED1B",0,0.694345918734747,0.644,0.427,0,"C1","PCED1B"
"RPL10",0,0.692997951775282,1,0.991,0,"C1","RPL10"
"RPL9",0,0.689939558783581,0.998,0.968,0,"C1","RPL9"
"RPS6",0,0.68825924980252,0.999,0.979,0,"C1","RPS6"
"RPS14",0,0.684985822973768,0.999,0.989,0,"C1","RPS14"
"RPL3",0,0.680818318269315,0.998,0.969,0,"C1","RPL3"
"RPS23",0,0.675793594764019,0.999,0.986,0,"C1","RPS23"
"RPL13",0,0.674474616252713,1,0.989,0,"C1","RPL13"
"SNHG8",0,0.663132645950095,0.721,0.527,0,"C1","SNHG8"
"RPL18",0,0.651002560450108,1,0.988,0,"C1","RPL18"
"RPL39",0,0.648273970646186,1,0.989,0,"C1","RPL39"
"RPL11",0,0.645308905734574,1,0.99,0,"C1","RPL11"
"NOSIP",0,0.642516962288167,0.871,0.643,0,"C1","NOSIP"
"RPL34",0,0.638597759061837,0.999,0.988,0,"C1","RPL34"
"RPL7",0,0.632332174264904,0.997,0.963,0,"C1","RPL7"
"RPS27A",0,0.625399653461334,1,0.989,0,"C1","RPS27A"
"C12orf57",0,0.617507144452025,0.915,0.786,0,"C1","C12orf57"
"RPL10A",0,0.615593605114018,0.997,0.962,0,"C1","RPL10A"
"FHIT",0,0.614109857396457,0.292,0.084,0,"C1","FHIT"
"TRABD2A",0,0.609694882255495,0.391,0.175,0,"C1","TRABD2A"
"NOP53",0,0.602619641212515,0.823,0.675,0,"C1","NOP53"
"ITGA6",0,0.601666847356668,0.381,0.176,0,"C1","ITGA6"
"RPL8",0,0.594055793290909,0.999,0.987,0,"C1","RPL8"
"EEF1A1",0,0.593103326317411,1,0.992,0,"C1","EEF1A1"
"RPL19",0,0.592652186163345,1,0.989,0,"C1","RPL19"
"RPS21",0,0.592179547203614,0.999,0.986,0,"C1","RPS21"
"RPL29",0,0.592077069395502,0.999,0.987,0,"C1","RPL29"
"RPL35A",0,0.585977421775266,0.999,0.988,0,"C1","RPL35A"
"RPS9",0,0.584309902187966,0.996,0.96,0,"C1","RPS9"
"RPS4X",0,0.578523258661369,0.999,0.985,0,"C1","RPS4X"
"RPL18A",0,0.576054898160711,0.999,0.988,0,"C1","RPL18A"
