"k","mean","median","stdev"
15,0.486724066813999,0.454355229629389,0.1745066419999
20,0.500222184991826,0.509153248333944,0.149726043923735
25,0.544791331481875,0.489327743471791,0.197903848870271
30,0.50014585597767,0.485812589167109,0.136964639279956
35,0.512130034542658,0.490479156737755,0.147693226806907
40,0.560046686976126,0.496326135839245,0.220965941831053
45,0.510032796520427,0.489469141132258,0.147338135962938
50,0.530290067398553,0.503002825027676,0.145051307327493
55,0.503561150135149,0.462264508180554,0.147507694443489
60,0.529809926578685,0.500561809751905,0.154882330335985
